instance_id,base_commit,file,line,start_line,end_line,n_lines,current_statement,extracted_statement,reason
django__django-11400,1f8382d34d54061eddc41df6994e20ee38c60907,django/db/models/fields/__init__.py,830,828,831,4,for x in rel_model._default_manager.complex_filter(limit_choices_to).order_by(*ordering),"return (blank_choice if include_blank else []) + [
    (choice_func(x), str(x))
    for x in rel_model._default_manager.complex_filter(limit_choices_to).order_by(*ordering)
]","sub-statement pointer, balloons x1.89"
django__django-11400,1f8382d34d54061eddc41df6994e20ee38c60907,django/db/models/fields/reverse_related.py,126,125,127,3,"(x.pk, str(x)) for x in self.related_model._default_manager.order_by(*ordering)","return (blank_choice if include_blank else []) + [
    (x.pk, str(x)) for x in self.related_model._default_manager.order_by(*ordering)
]","sub-statement pointer, balloons x1.67"
django__django-15554,59ab3fd0e9e606d7f0f7ca26609c06ee679ece97,django/db/models/sql/query.py,1030,1027,1031,5,if (reuse is None or a in reuse) and j.equals(join),"reuse_aliases = [
    a
    for a, j in self.alias_map.items()
    if (reuse is None or a in reuse) and j.equals(join)
]","sub-statement pointer, balloons x2.12"
django__django-15572,0b31e024873681e187b574fe1c4afe5e48aeeecf,django/template/autoreload.py,28,25,29,5,if not is_django_path(directory),"items.update(
    cwd / to_path(directory)
    for directory in loader.get_dirs()
    if not is_django_path(directory)
)","sub-statement pointer, balloons x3.38"
django__django-15629,694cf458f16b8d340a3195244196980b2dec34fd,django/db/backends/base/schema.py,832,826,833,8,and old_type != new_type,"drop_foreign_keys = (
    self.connection.features.supports_foreign_keys
    and (
        (old_field.primary_key and new_field.primary_key)
        or (old_field.unique and new_field.unique)
    )
    and old_type != new_type
)","sub-statement pointer, balloons x8.17"
django__django-15629,694cf458f16b8d340a3195244196980b2dec34fd,django/db/backends/base/schema.py,1041,1041,1043,3,"fragment, other_actions = self._alter_column_type_sql(","fragment, other_actions = self._alter_column_type_sql(
    new_rel.related_model, old_rel.field, new_rel.field, rel_type
)","sub-statement pointer, balloons x2.19"
django__django-15732,ce69e34bd646558bb44ea92cecfd98b345a0b3e0,django/db/backends/base/schema.py,531,530,532,3,"model, fields, {""unique"": True}, self.sql_delete_unique","self._delete_composed_index(
    model, fields, {""unique"": True}, self.sql_delete_unique
)","sub-statement pointer, balloons x1.56"
django__django-16145,93d4c9ea1de24eb391cb2b3561b6703fd46374df,django/core/management/commands/runserver.py,150,140,154,15,"""addr"": ""[%s]"" % self.addr if self._raw_ipv6 else self.addr,","self.stdout.write(
    (
        ""Django version %(version)s, using settings %(settings)r\n""
        ""Starting development server at %(protocol)s://%(addr)s:%(port)s/\n""
        ""Quit the server with %(quit_command)s.""
    )
    % {
        ""version"": self.get_version(),
        ""settings"": settings.SETTINGS_MODULE,
        ""protocol"": self.protocol,
        ""addr"": ""[%s]"" % self.addr if self._raw_ipv6 else self.addr,
        ""port"": self.port,
        ""quit_command"": quit_command,
    }
)","sub-statement pointer, balloons x6.77"
django__django-16315,7d5329852f19c6ae78c6f6f3d3e41835377bf295,django/db/models/sql/compiler.py,1728,1725,1730,6,"self.query.update_fields,","on_conflict_suffix_sql = self.connection.ops.on_conflict_suffix_sql(
    fields,
    self.query.on_conflict,
    self.query.update_fields,
    self.query.unique_fields,
)","sub-statement pointer, balloons x6.16"
django__django-16315,7d5329852f19c6ae78c6f6f3d3e41835377bf295,django/db/models/sql/compiler.py,1729,1725,1730,6,"self.query.unique_fields,","on_conflict_suffix_sql = self.connection.ops.on_conflict_suffix_sql(
    fields,
    self.query.on_conflict,
    self.query.update_fields,
    self.query.unique_fields,
)","sub-statement pointer, balloons x6.16"
matplotlib__matplotlib-25287,f8ffce6d44127d4ea7d6491262ab30046b03294b,lib/matplotlib/axis.py,2258,2252,2259,8,"color=mpl.rcParams['xtick.color'],","self.offsetText.set(
    x=1, y=0,
    verticalalignment='top', horizontalalignment='right',
    transform=mtransforms.blended_transform_factory(
        self.axes.transAxes, mtransforms.IdentityTransform()),
    fontsize=mpl.rcParams['xtick.labelsize'],
    color=mpl.rcParams['xtick.color'],
)","sub-statement pointer, balloons x7.85"
matplotlib__matplotlib-25287,f8ffce6d44127d4ea7d6491262ab30046b03294b,lib/matplotlib/axis.py,2518,2512,2519,8,"color=mpl.rcParams['ytick.color'],","self.offsetText.set(
    x=0, y=0.5,
    verticalalignment='baseline', horizontalalignment='left',
    transform=mtransforms.blended_transform_factory(
        self.axes.transAxes, mtransforms.IdentityTransform()),
    fontsize=mpl.rcParams['ytick.labelsize'],
    color=mpl.rcParams['ytick.color'],
)","sub-statement pointer, balloons x8.03"
matplotlib__matplotlib-25479,7fdf772201e4c9bafbc16dfac23b5472d6a53fa2,lib/matplotlib/colors.py,777,777,778,2,"if (not isinstance(other, Colormap) or self.name != other.name or","if (not isinstance(other, Colormap) or self.name != other.name or
        self.colorbar_extend != other.colorbar_extend):","sub-statement pointer, balloons x1.74"
pydata__xarray-3305,69c7e01e5167a3137c285cb50d1978252bb8bcbf,xarray/core/dataset.py,4771,4770,4772,3,"q, dim=reduce_dims, interpolation=interpolation","variables[name] = var.quantile(
    q, dim=reduce_dims, interpolation=interpolation
)","sub-statement pointer, balloons x1.72"
pydata__xarray-4687,d3b6aa6d8b997df115a53c001d00222a0f92f63a,xarray/core/computation.py,1812,1812,1820,9,"apply_ufunc(..., dask=""allowed"") without keep_attrs=keep_attrs","return apply_ufunc(
    duck_array_ops.where,
    cond,
    x,
    y,
    join=""exact"",
    dataset_join=""exact"",
    dask=""allowed"",
)",differs / paraphrase (x1.73)
pytest-dev__pytest-8399,6e7dc8bac831cd8cf7a53b08efa366bd84f0c0fe,src/_pytest/unittest.py,147,143,148,6,"name=f""unittest_{setup_name}_fixture_{obj.__qualname__}"",","@pytest.fixture(
    scope=scope,
    autouse=True,
    # Use a unique name to speed up lookup.
    name=f""unittest_{setup_name}_fixture_{obj.__qualname__}"",
)","sub-statement pointer, balloons x2.51"
scikit-learn__scikit-learn-10297,b90661d6a46aa3619d3eec94d5281f5888add501,sklearn/linear_model/ridge.py,1336,1335,1336,2,"normalize=False, scoring=None, cv=None, class_weight=None):","def __init__(self, alphas=(0.1, 1.0, 10.0), fit_intercept=True,
             normalize=False, scoring=None, cv=None, class_weight=None):","sub-statement pointer, balloons x2.08"
scikit-learn__scikit-learn-10297,b90661d6a46aa3619d3eec94d5281f5888add501,sklearn/linear_model/ridge.py,1339,1337,1339,3,"scoring=scoring, cv=cv)","super(RidgeClassifierCV, self).__init__(
    alphas=alphas, fit_intercept=fit_intercept, normalize=normalize,
    scoring=scoring, cv=cv)","sub-statement pointer, balloons x5.61"
