model,run,instance,fl_line_hit,fl_file_hit,binary,consistent,alignment,chosen_annotator,annotator1,annotator2,coded
claude-opus,run1,astropy__astropy-13579,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,astropy__astropy-14365,True,True,,,,,,,False
claude-opus,run1,astropy__astropy-14598,False,True,conflicting,False,divergent,annotator1,divergent,,True
claude-opus,run1,astropy__astropy-7606,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,astropy__astropy-7671,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,astropy__astropy-8707,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,astropy__astropy-8872,True,True,consistent,True,,,,,True
claude-opus,run1,django__django-10554,False,True,conflicting,False,divergent,annotator1,divergent,,True
claude-opus,run1,django__django-11138,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,django__django-11265,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-11400,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-11532,False,False,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-11728,True,True,consistent,True,aligned,annotator2,,aligned,True
claude-opus,run1,django__django-11734,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-11740,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,django__django-12155,True,True,consistent,True,,,,,True
claude-opus,run1,django__django-12406,False,False,conflicting,False,divergent,annotator1,divergent,,True
claude-opus,run1,django__django-13121,False,True,consistent,True,partial,annotator2,,partial,True
claude-opus,run1,django__django-13158,True,True,consistent,True,,,,,True
claude-opus,run1,django__django-13195,True,True,,,,,,,False
claude-opus,run1,django__django-13297,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-13343,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,django__django-13344,False,False,conflicting,False,divergent,annotator1,divergent,,True
claude-opus,run1,django__django-13346,False,False,consistent,True,partial,annotator2,,partial,True
claude-opus,run1,django__django-13449,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,django__django-13512,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-13810,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,django__django-14007,True,True,consistent,True,aligned,annotator2,,aligned,True
claude-opus,run1,django__django-14011,False,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-14034,False,False,conflicting,False,contradictory,annotator1,contradictory,,True
claude-opus,run1,django__django-14053,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-14170,False,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-14315,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,django__django-14349,False,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-14434,False,True,consistent,True,aligned,annotator2,,aligned,True
claude-opus,run1,django__django-15128,False,True,consistent,True,partial,annotator2,,partial,True
claude-opus,run1,django__django-15503,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-15554,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,django__django-15563,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,django__django-15572,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-15629,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-15732,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,django__django-15916,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,django__django-16145,False,True,conflicting,False,divergent,annotator1,divergent,,True
claude-opus,run1,django__django-16256,False,False,consistent,True,aligned,annotator2,,aligned,True
claude-opus,run1,django__django-16315,True,True,consistent,True,,,,,True
claude-opus,run1,django__django-16454,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-16502,True,True,consistent,True,,,,,True
claude-opus,run1,django__django-16631,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,django__django-16901,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,django__django-16938,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,django__django-17084,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,matplotlib__matplotlib-20859,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,matplotlib__matplotlib-22719,True,True,consistent,True,aligned,annotator2,,aligned,True
claude-opus,run1,matplotlib__matplotlib-23299,False,False,,,,,,,False
claude-opus,run1,matplotlib__matplotlib-24026,True,True,consistent,True,aligned,annotator2,,aligned,True
claude-opus,run1,matplotlib__matplotlib-24637,False,True,consistent,True,aligned,annotator2,,aligned,True
claude-opus,run1,matplotlib__matplotlib-25287,True,True,consistent,True,,,,,True
claude-opus,run1,matplotlib__matplotlib-25311,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,matplotlib__matplotlib-25479,True,True,,,,,,,False
claude-opus,run1,matplotlib__matplotlib-25960,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,matplotlib__matplotlib-26208,False,True,conflicting,False,divergent,annotator1,divergent,,True
claude-opus,run1,matplotlib__matplotlib-26466,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,mwaskom__seaborn-3187,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,psf__requests-2317,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,psf__requests-2931,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,pydata__xarray-3095,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,pydata__xarray-3305,True,True,consistent,True,,,,,True
claude-opus,run1,pydata__xarray-3993,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,pydata__xarray-4687,True,True,consistent,True,partial,annotator2,,partial,True
