model,run,instance,rationale,class
claude-opus,run1,django__django-16145,conflicting,fix_without_understanding
claude-opus,run3,django__django-16454,conflicting,fix_without_understanding
claude-opus,run3,pydata__xarray-6599,conflicting,fix_without_understanding
claude-opus,run3,pytest-dev__pytest-5840,conflicting,fix_without_understanding
minimax-m3,run2,pytest-dev__pytest-5840,conflicting,fix_without_understanding
minimax-m3,run3,pytest-dev__pytest-7236,conflicting,fix_without_understanding
claude-opus,run3,scikit-learn__scikit-learn-12973,conflicting,fix_without_understanding
gemini-3.1-flash-lite,run1,scikit-learn__scikit-learn-12973,conflicting,fix_without_understanding
gemini-3.1-flash-lite,run2,scikit-learn__scikit-learn-12973,conflicting,fix_without_understanding
gemini-3.1-flash-lite,run3,scikit-learn__scikit-learn-12973,conflicting,fix_without_understanding
minimax-m3,run2,scikit-learn__scikit-learn-12973,conflicting,fix_without_understanding
claude-opus,run2,scikit-learn__scikit-learn-13124,conflicting,fix_without_understanding
claude-opus,run3,scikit-learn__scikit-learn-13124,conflicting,fix_without_understanding
claude-opus,run1,sphinx-doc__sphinx-9658,conflicting,fix_without_understanding
claude-opus,run2,sphinx-doc__sphinx-9658,conflicting,fix_without_understanding
claude-opus,run3,sphinx-doc__sphinx-9658,conflicting,fix_without_understanding
minimax-m3,run3,sphinx-doc__sphinx-9658,conflicting,fix_without_understanding
claude-opus,run1,sympy__sympy-13877,conflicting,fix_without_understanding
claude-opus,run2,sympy__sympy-13877,conflicting,fix_without_understanding
claude-opus,run3,sympy__sympy-13877,conflicting,fix_without_understanding
gpt-5-3-codex,run3,sympy__sympy-13877,conflicting,fix_without_understanding
minimax-m3,run3,sympy__sympy-13877,conflicting,fix_without_understanding
gpt-5-3-codex,run3,sympy__sympy-15345,conflicting,fix_without_understanding
gemini-3.1-flash-lite,run1,astropy__astropy-13579,consistent,understood_wrong_line
gemini-3.1-flash-lite,run3,astropy__astropy-13579,consistent,understood_wrong_line
gpt-5-3-codex,run1,astropy__astropy-7671,consistent,understood_wrong_line
gpt-5-3-codex,run2,astropy__astropy-7671,consistent,understood_wrong_line
gpt-5-3-codex,run3,django__django-11532,consistent,understood_wrong_line
minimax-m3,run3,django__django-11532,consistent,understood_wrong_line
gemini-3.1-flash-lite,run1,django__django-12155,consistent,understood_wrong_line
gemini-3.1-flash-lite,run2,django__django-12155,consistent,understood_wrong_line
