model,run,instance,fl_line_hit,resolved,reasoning_binary,reasoning_consistent,reasoning_alignment_4way,quadrant,trust_profile
claude-opus,run1,astropy__astropy-13579,True,True,consistent,True,partial,both,FL+ APR+ R:consistent
claude-opus,run1,astropy__astropy-14365,True,False,,,,fl_only,FL+ APR- R:?
claude-opus,run1,astropy__astropy-14598,False,False,conflicting,False,divergent,neither,FL- APR- R:conflicting
claude-opus,run1,astropy__astropy-7606,True,False,consistent,True,aligned,fl_only,FL+ APR- R:consistent
claude-opus,run1,astropy__astropy-7671,True,True,consistent,True,partial,both,FL+ APR+ R:consistent
claude-opus,run1,astropy__astropy-8707,True,False,consistent,True,aligned,fl_only,FL+ APR- R:consistent
claude-opus,run1,astropy__astropy-8872,True,False,consistent,True,,fl_only,FL+ APR- R:consistent
claude-opus,run1,django__django-10554,False,False,conflicting,False,divergent,neither,FL- APR- R:conflicting
claude-opus,run1,django__django-11138,True,True,consistent,True,aligned,both,FL+ APR+ R:consistent
claude-opus,run1,django__django-11265,True,False,consistent,True,partial,fl_only,FL+ APR- R:consistent
claude-opus,run1,django__django-11400,True,False,consistent,True,partial,fl_only,FL+ APR- R:consistent
claude-opus,run1,django__django-11532,False,False,consistent,True,partial,neither,FL- APR- R:consistent
claude-opus,run1,django__django-11728,True,True,consistent,True,aligned,both,FL+ APR+ R:consistent
claude-opus,run1,django__django-11734,True,False,consistent,True,partial,fl_only,FL+ APR- R:consistent
claude-opus,run1,django__django-11740,True,True,consistent,True,aligned,both,FL+ APR+ R:consistent
claude-opus,run1,django__django-12155,True,True,consistent,True,,both,FL+ APR+ R:consistent
claude-opus,run1,django__django-12406,False,False,conflicting,False,divergent,neither,FL- APR- R:conflicting
claude-opus,run1,django__django-13121,False,True,consistent,True,partial,apr_only,FL- APR+ R:consistent
claude-opus,run1,django__django-13158,True,False,consistent,True,,fl_only,FL+ APR- R:consistent
claude-opus,run1,django__django-13195,True,True,,,,both,FL+ APR+ R:?
claude-opus,run1,django__django-13297,True,True,consistent,True,partial,both,FL+ APR+ R:consistent
claude-opus,run1,django__django-13343,True,True,consistent,True,aligned,both,FL+ APR+ R:consistent
claude-opus,run1,django__django-13344,False,False,conflicting,False,divergent,neither,FL- APR- R:conflicting
