model,run,instance,fl_correct,resolved,quadrant
claude-opus,run1,astropy__astropy-13579,True,True,both
claude-opus,run1,astropy__astropy-14365,True,False,fl_only
claude-opus,run1,astropy__astropy-14598,False,False,neither
claude-opus,run1,astropy__astropy-7606,True,False,fl_only
claude-opus,run1,astropy__astropy-7671,True,True,both
claude-opus,run1,astropy__astropy-8707,True,False,fl_only
claude-opus,run1,astropy__astropy-8872,True,False,fl_only
claude-opus,run1,django__django-10554,False,False,neither
claude-opus,run1,django__django-11138,True,True,both
claude-opus,run1,django__django-11265,True,False,fl_only
claude-opus,run1,django__django-11400,True,False,fl_only
claude-opus,run1,django__django-11532,False,False,neither
claude-opus,run1,django__django-11728,True,True,both
claude-opus,run1,django__django-11734,True,False,fl_only
claude-opus,run1,django__django-11740,True,True,both
claude-opus,run1,django__django-12155,True,True,both
claude-opus,run1,django__django-12406,False,False,neither
claude-opus,run1,django__django-13121,False,True,apr_only
claude-opus,run1,django__django-13158,True,False,fl_only
claude-opus,run1,django__django-13195,True,True,both
claude-opus,run1,django__django-13297,True,True,both
claude-opus,run1,django__django-13343,True,True,both
claude-opus,run1,django__django-13344,False,False,neither
claude-opus,run1,django__django-13346,False,True,apr_only
claude-opus,run1,django__django-13449,True,True,both
claude-opus,run1,django__django-13512,True,False,fl_only
claude-opus,run1,django__django-13810,True,True,both
claude-opus,run1,django__django-14007,True,True,both
claude-opus,run1,django__django-14011,False,True,apr_only
claude-opus,run1,django__django-14034,False,False,neither
claude-opus,run1,django__django-14053,True,True,both
claude-opus,run1,django__django-14170,False,False,neither
claude-opus,run1,django__django-14315,True,True,both
claude-opus,run1,django__django-14349,False,True,apr_only
claude-opus,run1,django__django-14434,False,True,apr_only
claude-opus,run1,django__django-15128,False,True,apr_only
claude-opus,run1,django__django-15503,True,True,both
claude-opus,run1,django__django-15554,True,True,both
claude-opus,run1,django__django-15563,True,True,both
claude-opus,run1,django__django-15572,True,True,both
claude-opus,run1,django__django-15629,True,False,fl_only
claude-opus,run1,django__django-15732,True,True,both
claude-opus,run1,django__django-15916,True,True,both
claude-opus,run1,django__django-16145,False,True,apr_only
claude-opus,run1,django__django-16256,False,False,neither
claude-opus,run1,django__django-16315,True,True,both
claude-opus,run1,django__django-16454,True,True,both
claude-opus,run1,django__django-16502,True,False,fl_only
claude-opus,run1,django__django-16631,True,True,both
claude-opus,run1,django__django-16901,True,True,both
claude-opus,run1,django__django-16938,True,True,both
claude-opus,run1,django__django-17084,True,True,both
claude-opus,run1,matplotlib__matplotlib-20859,True,True,both
claude-opus,run1,matplotlib__matplotlib-22719,True,True,both
claude-opus,run1,matplotlib__matplotlib-23299,False,False,neither
claude-opus,run1,matplotlib__matplotlib-24026,True,True,both
claude-opus,run1,matplotlib__matplotlib-24637,False,True,apr_only
claude-opus,run1,matplotlib__matplotlib-25287,True,True,both
claude-opus,run1,matplotlib__matplotlib-25311,True,True,both
claude-opus,run1,matplotlib__matplotlib-25479,True,False,fl_only
claude-opus,run1,matplotlib__matplotlib-25960,True,True,both
claude-opus,run1,matplotlib__matplotlib-26208,False,False,neither
claude-opus,run1,matplotlib__matplotlib-26466,True,False,fl_only
claude-opus,run1,mwaskom__seaborn-3187,True,False,fl_only
claude-opus,run1,psf__requests-2317,True,True,both
claude-opus,run1,psf__requests-2931,True,True,both
claude-opus,run1,pydata__xarray-3095,True,True,both
claude-opus,run1,pydata__xarray-3305,True,True,both
claude-opus,run1,pydata__xarray-3993,True,True,both
claude-opus,run1,pydata__xarray-4687,True,True,both
claude-opus,run1,pydata__xarray-6599,True,True,both
claude-opus,run1,pydata__xarray-6938,True,True,both
claude-opus,run1,pydata__xarray-6992,True,False,fl_only
claude-opus,run1,pydata__xarray-7229,True,False,fl_only
claude-opus,run1,pylint-dev__pylint-4604,True,False,fl_only
