instance,model,run,chosen_annotator,panel_consistent_of6,fl_line_hit,fl_file_hit,patch_vs_gold_files,gold_files,agent_files,inspection,manual_category,agent_understood,panel_verdicts,note,resolved_recheck
django__django-16145,claude-opus,run1,annotator1,2/6,False,True,same,django/core/management/commands/runserver.py,django/core/management/commands/runserver.py,deep_read,valid_alternative_fix,yes,opus[o0]:divergent gpt[o0]:partial gemini[o0]:divergent opus[o1]:divergent gpt[o1]:partial gemini[o1]:divergent,"Normalizes addr '0'->'0.0.0.0' in the 'if not self.addr' block; gold fixes the display ternary. Same logical fix, different point in same function. Juror: the two annotators disagree on WHERE (display vs normalization); agent chose annotator2's location.",resolved
django__django-16454,claude-opus,run3,annotator1,1/6,False,True,same,django/core/management/base.py,django/core/management/base.py,deep_read,identical_to_gold,yes,opus[o0]:contradictory gpt[o0]:partial gemini[o0]:contradictory opus[o1]:contradictory gpt[o1]:divergent gemini[o1]:contradictory,Agent patch is IDENTICAL to gold (same add_subparsers + functools.partial). Conflict is pure rationale phrasing: the two annotators make opposing claims about whether error() is raised-then-uncaught vs bypassed.,resolved
pydata__xarray-6599,claude-opus,run3,annotator1,2/6,False,True,same,xarray/core/computation.py,xarray/core/computation.py,deep_read,valid_alternative_fix,yes,opus[o0]:divergent gpt[o0]:partial gemini[o0]:divergent opus[o1]:divergent gpt[o1]:partial gemini[o1]:divergent,Handles timedelta (kind m) via a zero timedelta64 offset through datetime_to_numeric; gold uses astype(float). Both make timedeltas floatable. Agent reasoning nails the root cause; annotators differ only on extra detail.,resolved
pytest-dev__pytest-5840,claude-opus,run3,annotator2,1/6,False,True,subset,src/_pytest/config/__init__.py|src/_pytest/pathlib.py,src/_pytest/config/__init__.py,deep_read,matches_gold_diff_rationale,yes,opus[o0]:divergent gpt[o0]:partial gemini[o0]:divergent opus[o1]:divergent gpt[o1]:divergent gemini[o1]:divergent,Uses Path().resolve() (gold's approach) in __init__.py; skips deleting now-dead unique_path in pathlib.py. Rationale=dict-key/path-identity mismatch; reference annotator2=module-import failure. Agent matches the UNUSED annotator1 mechanism.,resolved
pytest-dev__pytest-5840,minimax-m3,run2,annotator2,0/6,False,True,same,src/_pytest/config/__init__.py|src/_pytest/pathlib.py,src/_pytest/config/__init__.py|src/_pytest/pathlib.py,deep_read,matches_gold_diff_rationale,yes,opus[o0]:divergent gpt[o0]:divergent gemini[o0]:divergent opus[o1]:divergent gpt[o1]:divergent gemini[o1]:divergent,"Edits BOTH gold files (same as gold); panel 0/6. Fix location correct, rationale diverges from reference annotator.",resolved
pytest-dev__pytest-7236,minimax-m3,run3,annotator1,1/6,False,True,same,src/_pytest/unittest.py,src/_pytest/unittest.py,deep_read,different_mechanism_understood,yes,opus[o0]:contradictory gpt[o0]:partial gemini[o0]:divergent opus[o1]:contradictory gpt[o1]:divergent gemini[o1]:contradictory,"Guards the postponed --pdb tearDown on skipped_by_mark_key in teardown(); gold adds _is_skipped helper used in collect/fixture/runtest. Different location, same root; agent reasoning is precise. Annotators disagree on whether pytest.mark.skip is affected.",resolved
scikit-learn__scikit-learn-12973,claude-opus,run3,annotator1,1/6,False,True,same,sklearn/linear_model/least_angle.py,sklearn/linear_model/least_angle.py,deep_read,identical_to_gold,yes,opus[o0]:partial gpt[o0]:divergent gemini[o0]:divergent opus[o1]:contradictory gpt[o1]:divergent gemini[o1]:divergent,Patch essentially identical to gold in least_angle.py.,resolved
scikit-learn__scikit-learn-12973,gemini-3.1-flash-lite,run1,annotator1,1/6,False,True,same,sklearn/linear_model/least_angle.py,sklearn/linear_model/least_angle.py,deep_read,identical_to_gold,yes,opus[o0]:contradictory gpt[o0]:contradictory gemini[o0]:contradictory opus[o1]:contradictory gpt[o1]:partial gemini[o1]:contradictory,Patch essentially identical to gold in least_angle.py.,resolved
scikit-learn__scikit-learn-12973,gemini-3.1-flash-lite,run2,annotator1,1/6,False,True,same,sklearn/linear_model/least_angle.py,sklearn/linear_model/least_angle.py,deep_read,identical_to_gold,yes,opus[o0]:contradictory gpt[o0]:contradictory gemini[o0]:contradictory opus[o1]:contradictory gpt[o1]:aligned gemini[o1]:contradictory,Patch essentially identical to gold in least_angle.py.,resolved
scikit-learn__scikit-learn-12973,gemini-3.1-flash-lite,run3,annotator1,1/6,False,True,same,sklearn/linear_model/least_angle.py,sklearn/linear_model/least_angle.py,deep_read,identical_to_gold,yes,opus[o0]:contradictory gpt[o0]:divergent gemini[o0]:contradictory opus[o1]:contradictory gpt[o1]:partial gemini[o1]:contradictory,Patch essentially identical to gold in least_angle.py.,resolved
scikit-learn__scikit-learn-12973,minimax-m3,run2,annotator1,2/6,False,True,same,sklearn/linear_model/least_angle.py,sklearn/linear_model/least_angle.py,deep_read,identical_to_gold,yes,opus[o0]:divergent gpt[o0]:partial gemini[o0]:divergent opus[o1]:divergent gpt[o1]:partial gemini[o1]:divergent,Patch essentially identical to gold in least_angle.py.,resolved
scikit-learn__scikit-learn-13124,claude-opus,run2,annotator1,2/6,False,True,same,sklearn/model_selection/_split.py,sklearn/model_selection/_split.py,deep_read,reproduces_gold_contested_panel,yes,opus[o0]:contradictory gpt[o0]:aligned gemini[o0]:divergent opus[o1]:contradictory gpt[o1]:partial gemini[o1]:divergent,Reproduces gold allocation/round-robin rewrite in _split.py. Panel SPLIT: GPT juror voted aligned/partial (2/6 consistent). The two human annotators give OPPOSING None-case mechanisms; contested conflict.,resolved
scikit-learn__scikit-learn-13124,claude-opus,run3,annotator1,2/6,False,True,same,sklearn/model_selection/_split.py,sklearn/model_selection/_split.py,deep_read,reproduces_gold_contested_panel,yes,opus[o0]:contradictory gpt[o0]:aligned gemini[o0]:divergent opus[o1]:contradictory gpt[o1]:partial gemini[o1]:divergent,Reproduces gold allocation/round-robin rewrite in _split.py. Panel SPLIT: GPT juror voted aligned/partial (2/6 consistent). The two human annotators give OPPOSING None-case mechanisms; contested conflict.,resolved
sphinx-doc__sphinx-9658,claude-opus,run1,annotator1,0/6,False,True,overlap+extra,sphinx/ext/autodoc/mock.py,sphinx/ext/autodoc/mock.py|sphinx/util/typing.py,deep_read,fixed_source_plus_extra_guard,yes,opus[o0]:divergent gpt[o0]:divergent gemini[o0]:divergent opus[o1]:divergent gpt[o1]:divergent gemini[o1]:divergent,Edits gold mock.py AND adds a typing.py guard; more thorough than gold. Diverges from annotator because rationale spans both layers.,resolved
sphinx-doc__sphinx-9658,claude-opus,run2,annotator1,2/6,False,True,overlap+extra,sphinx/ext/autodoc/mock.py,sphinx/ext/autodoc/mock.py|sphinx/util/typing.py,deep_read,fixed_source_plus_extra_guard,yes,opus[o0]:divergent gpt[o0]:partial gemini[o0]:divergent opus[o1]:divergent gpt[o1]:partial gemini[o1]:divergent,Edits gold mock.py AND adds a typing.py guard; more thorough than gold. Diverges from annotator because rationale spans both layers.,resolved
sphinx-doc__sphinx-9658,claude-opus,run3,annotator1,0/6,False,True,overlap+extra,sphinx/ext/autodoc/mock.py,sphinx/ext/autodoc/mock.py|sphinx/util/typing.py,deep_read,fixed_source_plus_extra_guard,yes,opus[o0]:divergent gpt[o0]:divergent gemini[o0]:divergent opus[o1]:divergent gpt[o1]:divergent gemini[o1]:divergent,Edits gold mock.py AND adds a typing.py guard; more thorough than gold. Diverges from annotator because rationale spans both layers.,resolved
sphinx-doc__sphinx-9658,minimax-m3,run3,annotator1,2/6,False,False,DISJOINT,sphinx/ext/autodoc/mock.py,sphinx/util/typing.py,deep_read,symptom_guard_wrong_layer,yes,opus[o0]:divergent gpt[o0]:partial gemini[o0]:divergent opus[o1]:divergent gpt[o1]:partial gemini[o1]:divergent,THE specimen (fig:motivating): guards one consumer _restify_py37 in typing.py; gold fixes source mock.py; misses sibling _restify_py36. Trajectory names the true source then localizes downstream.,resolved
sympy__sympy-13877,claude-opus,run1,annotator1,0/6,False,True,subset,sympy/matrices/matrices.py|sympy/utilities/randtest.py,sympy/matrices/matrices.py,deep_read,different_real_defect,yes,opus[o0]:divergent gpt[o0]:divergent gemini[o0]:divergent opus[o1]:divergent gpt[o1]:divergent gemini[o1]:divergent,Adds 'return cancel(ret)' fixing a genuinely different real defect (discarded cancel result); gold fixes pivot selection. Panel unanimous divergent: explains a different but valid bug.,resolved
sympy__sympy-13877,claude-opus,run2,annotator1,0/6,False,True,subset,sympy/matrices/matrices.py|sympy/utilities/randtest.py,sympy/matrices/matrices.py,deep_read,different_real_defect,yes,opus[o0]:divergent gpt[o0]:divergent gemini[o0]:divergent opus[o1]:divergent gpt[o1]:divergent gemini[o1]:divergent,Adds 'return cancel(ret)' fixing a genuinely different real defect (discarded cancel result); gold fixes pivot selection. Panel unanimous divergent: explains a different but valid bug.,resolved
sympy__sympy-13877,claude-opus,run3,annotator1,0/6,False,True,subset,sympy/matrices/matrices.py|sympy/utilities/randtest.py,sympy/matrices/matrices.py,deep_read,different_real_defect,yes,opus[o0]:divergent gpt[o0]:divergent gemini[o0]:divergent opus[o1]:divergent gpt[o1]:divergent gemini[o1]:divergent,Adds 'return cancel(ret)' fixing a genuinely different real defect (discarded cancel result); gold fixes pivot selection. Panel unanimous divergent: explains a different but valid bug.,resolved
sympy__sympy-13877,gpt-5-3-codex,run3,annotator1,0/6,False,True,subset,sympy/matrices/matrices.py|sympy/utilities/randtest.py,sympy/matrices/matrices.py,deep_read,different_real_defect,yes,opus[o0]:divergent gpt[o0]:divergent gemini[o0]:divergent opus[o1]:divergent gpt[o1]:divergent gemini[o1]:divergent,Adds 'return cancel(ret)' fixing a genuinely different real defect (discarded cancel result); gold fixes pivot selection. Panel unanimous divergent: explains a different but valid bug.,resolved
sympy__sympy-13877,minimax-m3,run3,annotator1,0/6,False,True,subset,sympy/matrices/matrices.py|sympy/utilities/randtest.py,sympy/matrices/matrices.py,deep_read,different_real_defect,yes,opus[o0]:divergent gpt[o0]:divergent gemini[o0]:divergent opus[o1]:divergent gpt[o1]:divergent gemini[o1]:divergent,Adds 'return cancel(ret)' fixing a genuinely different real defect (discarded cancel result); gold fixes pivot selection. Panel unanimous divergent: explains a different but valid bug.,resolved
sympy__sympy-15345,gpt-5-3-codex,run3,annotator1,2/6,False,True,same,sympy/printing/mathematica.py,sympy/printing/mathematica.py,deep_read,valid_alternative_fix,yes,opus[o0]:contradictory gpt[o0]:partial gemini[o0]:contradictory opus[o1]:contradictory gpt[o1]:partial gemini[o1]:contradictory,Adds explicit _print_Min/_print_Max methods; gold adds Max/Min to known_functions + _print_MinMaxBase. Same bracket output. Annotators disagree on which fallback path executed; agent identified the missing-handler root correctly.,resolved
