model,run,instance,fl_line_hit,fl_file_hit,binary,consistent,alignment,chosen_annotator,annotator1,annotator2,coded
claude-opus,run1,astropy__astropy-13579,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,astropy__astropy-14365,True,True,,,,,,,False
claude-opus,run1,astropy__astropy-7606,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,astropy__astropy-7671,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,astropy__astropy-8707,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,astropy__astropy-8872,True,True,consistent,True,,,,,True
claude-opus,run1,django__django-11138,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,django__django-11265,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-11400,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-11728,True,True,consistent,True,aligned,annotator2,,aligned,True
claude-opus,run1,django__django-11734,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run1,django__django-11740,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run1,django__django-12155,True,True,consistent,True,,,,,True
claude-opus,run1,django__django-13158,True,True,consistent,True,,,,,True
claude-opus,run1,django__django-13195,True,True,,,,,,,False
claude-opus,run2,astropy__astropy-13579,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run2,astropy__astropy-14365,True,True,conflicting,False,divergent,annotator1,divergent,,True
claude-opus,run2,astropy__astropy-14598,True,True,conflicting,False,divergent,annotator1,divergent,,True
claude-opus,run2,astropy__astropy-7606,True,True,consistent,True,,,,,True
claude-opus,run2,astropy__astropy-7671,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run2,astropy__astropy-8707,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run2,astropy__astropy-8872,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run2,django__django-11138,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run2,django__django-11265,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run2,django__django-11400,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run2,django__django-11728,True,True,consistent,True,,,,,True
claude-opus,run2,django__django-11734,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run2,django__django-11740,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run2,django__django-12155,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run2,django__django-12406,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run2,django__django-13158,True,True,consistent,True,aligned,annotator2,,aligned,True
claude-opus,run2,django__django-13195,True,True,,,,,,,False
claude-opus,run3,astropy__astropy-13579,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run3,astropy__astropy-14365,True,True,conflicting,False,divergent,annotator1,divergent,,True
claude-opus,run3,astropy__astropy-14598,True,True,conflicting,False,divergent,annotator1,divergent,,True
claude-opus,run3,astropy__astropy-7606,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run3,astropy__astropy-7671,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run3,astropy__astropy-8707,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run3,astropy__astropy-8872,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run3,django__django-11138,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run3,django__django-11265,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run3,django__django-11400,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run3,django__django-11532,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run3,django__django-11728,True,True,consistent,True,aligned,annotator2,,aligned,True
claude-opus,run3,django__django-11734,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run3,django__django-11740,True,True,consistent,True,aligned,annotator1,aligned,,True
claude-opus,run3,django__django-12155,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run3,django__django-12406,True,True,consistent,True,partial,annotator1,partial,,True
claude-opus,run3,django__django-13158,True,True,consistent,True,aligned,annotator2,,aligned,True
claude-opus,run3,django__django-13195,True,True,consistent,True,partial,annotator2,,partial,True
gemini-3.1-flash-lite,run1,django__django-11138,True,True,consistent,True,partial,annotator1,partial,,True
gemini-3.1-flash-lite,run1,django__django-13195,True,True,consistent,True,partial,annotator2,,partial,True
gemini-3.1-flash-lite,run2,astropy__astropy-14365,True,True,consistent,True,partial,annotator1,partial,,True
gemini-3.1-flash-lite,run2,django__django-11138,True,True,consistent,True,partial,annotator1,partial,,True
gemini-3.1-flash-lite,run2,django__django-11400,True,True,consistent,True,partial,annotator1,partial,,True
gemini-3.1-flash-lite,run2,django__django-13195,True,True,consistent,True,partial,annotator2,,partial,True
gemini-3.1-flash-lite,run3,astropy__astropy-14365,True,True,consistent,True,partial,annotator1,partial,,True
gemini-3.1-flash-lite,run3,astropy__astropy-7606,True,True,consistent,True,partial,annotator1,partial,,True
gemini-3.1-flash-lite,run3,django__django-11138,True,True,consistent,True,partial,annotator1,partial,,True
gemini-3.1-flash-lite,run3,django__django-11400,True,True,consistent,True,partial,annotator1,partial,,True
gemini-3.1-flash-lite,run3,django__django-12155,True,True,consistent,True,partial,annotator1,partial,,True
gemini-3.1-flash-lite,run3,django__django-13195,True,True,consistent,True,partial,annotator2,,partial,True
gpt-5-3-codex,run1,astropy__astropy-14365,True,True,consistent,True,partial,annotator1,partial,,True
gpt-5-3-codex,run1,astropy__astropy-14598,True,True,conflicting,False,divergent,annotator1,divergent,,True
gpt-5-3-codex,run1,astropy__astropy-7606,True,True,consistent,True,partial,annotator1,partial,,True
gpt-5-3-codex,run1,astropy__astropy-8707,True,True,consistent,True,partial,annotator1,partial,,True
gpt-5-3-codex,run1,astropy__astropy-8872,True,True,consistent,True,partial,annotator1,partial,,True
